company_id,worker_id,company_worker_id,industry_group,company_size,current_position,manager_authority,job_field,training_general,training_manager,training_job_related,training_other_field,ojt_participation,ojt_effect,offjt_participation,offjt_effect,training_days_group,training_sufficient,training_equal_opportunity,training_job_relevance,training_field_applicable,skill_level_entry,skill_level_current,has_job_certificate,work_autonomy,team_trust,free_opinion_to_supervisor,fair_evaluation_reward,work_content_satisfaction,wage_satisfaction,relationship_satisfaction,overall_job_satisfaction,turnover_intention,organizational_loyalty,fatigue,job_tension,regular_employee,union_member,regular_work_hours,overtime_hours,annual_income_10k_krw,monthly_income_10k_krw,gender,birth_year,marital_status,education_level,major_field
1,460,1460,1,1,1,2,20,1,1,1,1,1,4,1,4,2,3,3,3,4,1,3,2,3,4,4,3,3,3,4,4,3,4,2,2,1,1,40,4,4800,,1,1996,1,3,
1,461,1461,1,1,1,2,16,1,1,1,1,1,3,1,3,2,3,3,3,3,2,2,1,5,4,4,3,5,3,4,4,4,3,2,3,1,2,40,0,3720,,2,1982,1,5,3
1,462,1462,1,1,4,1,9,1,1,1,1,1,4,1,4,2,4,3,4,4,2,5,2,4,4,4,4,4,3,4,4,4,4,4,4,1,2,40,0,7320,,1,1983,2,5,3
1,463,1463,1,1,1,2,20,1,1,1,1,1,3,1,3,2,3,3,4,4,1,3,2,4,4,2,3,3,3,2,3,2,3,3,3,1,1,40,4,6000,,1,1996,1,3,
1,464,1464,1,1,1,2,20,1,1,1,1,1,2,2,,2,3,2,3,2,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,1,1,40,4,6600,,1,1997,1,3,
1,465,1465,1,1,3,1,7,1,2,2,2,2,,1,3,5,3,3,3,3,2,4,2,2,3,2,2,4,3,4,3,3,3,4,3,1,2,40,0,,495,1,1990,1,5,3
1,466,1466,1,1,1,2,9,1,2,1,2,1,3,1,3,4,3,3,3,3,2,4,2,3,4,4,4,3,3,4,4,4,4,3,4,1,2,40,0,5040,,1,1992,1,3,
1,467,1467,1,1,1,2,7,1,1,1,1,1,4,1,4,3,4,4,5,4,1,1,1,4,4,4,4,4,4,4,3,4,4,5,4,1,2,40,0,,420,1,1997,1,5,3
2,5,205,1,2,3,2,16,1,1,1,2,1,4,1,4,1,3,4,3,3,1,5,2,3,3,2,2,3,2,4,3,4,2,4,4,1,2,40,0,4400,,1,1985,2,5,3
2,11,211,1,2,3,2,12,1,2,1,1,1,4,1,4,3,4,4,4,4,2,3,1,4,4,3,3,4,3,4,4,4,3,3,4,1,2,40,0,3900,,2,1988,2,5,2
2,15,215,1,2,3,2,12,1,2,1,2,1,3,2,,1,3,3,3,3,2,4,1,3,3,2,2,4,2,3,3,4,2,3,2,1,2,40,1,4200,,2,1989,1,5,2
2,16,216,1,2,3,2,1,1,2,1,1,1,3,1,2,2,2,2,2,2,3,6,1,3,3,1,1,4,2,4,3,2,3,4,2,1,1,45,4,4500,,1,1988,1,6,4
2,27,227,1,2,4,2,12,1,2,1,1,1,2,1,2,1,4,4,3,3,1,5,1,2,2,1,1,3,1,2,2,5,2,4,3,1,2,40,12,4900,,1,1981,1,5,2
2,401,2401,1,2,4,2,16,1,2,1,2,1,4,2,,1,3,3,3,3,3,5,2,3,4,1,2,4,3,3,3,5,2,4,4,1,2,40,1,5000,,1,1985,2,5,2
2,402,2402,1,2,4,2,4,1,2,1,2,1,3,2,,1,3,4,3,3,2,4,2,3,3,2,3,3,2,4,3,5,2,4,3,1,2,40,1,4800,,2,1984,2,5,1
5,4,504,2,3,5,2,3,1,2,1,1,1,4,1,4,2,3,4,3,4,2,5,1,4,3,3,3,4,4,4,4,4,4,4,3,1,1,40,0,12000,,1,1983,2,5,2
5,15,515,2,3,4,2,10,1,2,1,1,1,3,1,4,3,3,4,2,3,2,5,2,3,4,4,4,4,4,4,4,2,3,2,3,1,2,40,0,10000,,1,1985,2,5,2
5,401,5401,2,3,1,2,12,1,2,2,1,2,,1,1,2,2,2,2,2,4,5,1,4,4,2,3,4,4,5,4,4,2,3,3,1,2,40,10,5700,,2,1995,1,5,2
5,402,5402,2,3,4,2,5,1,2,2,1,2,,1,3,2,3,3,2,2,2,4,2,4,2,4,3,3,4,4,3,4,3,3,1,1,1,40,2,,,1,1983,2,5,8
5,403,5403,2,3,6,2,3,1,1,1,1,1,3,1,3,2,3,3,3,3,2,6,1,3,4,4,3,4,4,4,4,2,4,2,2,1,1,40,5.5,,,2,1975,2,4,1
5,404,5404,2,3,3,2,21,1,2,1,1,1,4,1,2,2,3,3,2,2,2,5,1,4,4,4,4,4,3,4,4,4,3,2,4,1,1,40,10,11000,,1,1991,2,5,1
5,405,5405,2,3,3,2,12,1,2,1,2,1,3,2,,4,4,4,4,4,1,2,2,5,3,4,3,3,3,4,4,4,3,4,3,1,2,40,10,,450,2,1996,1,5,1
5,406,5406,2,3,5,2,21,1,1,1,1,1,4,1,4,2,4,4,4,3,5,5,2,5,4,4,4,4,4,4,4,3,4,3,4,1,2,40,5,,,1,1980,2,6,4
5,407,5407,2,3,1,2,10,1,2,2,2,2,,2,,3,3,4,5,5,2,3,1,4,4,4,5,4,4,5,4,1,5,1,3,1,2,40,5,,,1,1995,2,5,2
5,408,5408,2,3,1,2,22,1,2,1,1,1,2,1,3,2,3,3,2,3,5,6,1,4,4,4,3,2,4,4,3,4,4,4,2,1,2,40,2,6500,,1,1995,1,5,2
5,409,5409,2,3,4,2,25,1,2,1,1,1,3,1,2,2,3,4,3,2,4,6,2,3,4,3,2,4,4,3,3,2,3,2,2,1,1,40,5,12232,,2,1979,2,3,
5,410,5410,2,3,3,2,10,1,2,2,2,2,,2,,2,2,3,1,1,2,4,2,3,3,4,2,3,2,4,3,5,3,4,3,1,1,40,8,7000,,2,1992,1,6,1
5,411,5411,2,3,1,2,25,1,2,2,2,2,,1,3,2,4,4,4,5,1,1,2,4,5,3,4,4,4,5,4,2,4,2,4,2,2,40,0,,200,1,1993,1,5,6
5,412,5412,2,3,2,2,25,1,2,1,1,1,4,1,4,2,3,4,4,4,2,5,1,3,5,3,4,4,4,4,4,3,3,2,4,1,1,40,0,,,2,1990,2,4,3
5,413,5413,2,3,4,2,21,1,2,1,2,1,4,1,3,3,4,4,4,2,1,4,1,4,4,4,3,3,3,4,3,5,4,4,4,1,2,40,10,,500,1,1985,2,5,2
5,414,5414,2,3,4,1,21,1,1,1,2,1,2,1,3,13,3,4,2,2,2,4,2,2,3,3,2,3,2,4,3,4,3,4,4,1,1,40,10,10000,,2,1992,1,5,1
5,415,5415,2,3,3,2,12,1,2,1,2,1,2,1,2,5,3,3,3,3,4,5,2,3,3,4,3,3,3,4,3,3,3,2,3,1,1,40,8,,1000,1,1988,1,5,1
5,416,5416,2,3,4,2,5,1,2,1,1,1,4,1,4,2,4,4,4,3,2,5,2,4,4,3,4,4,4,4,4,3,4,4,4,1,1,40,0,,,2,1981,2,5,4
5,417,5417,2,3,3,2,12,1,2,1,1,1,2,1,2,2,4,4,3,2,2,5,1,4,4,4,3,4,4,5,4,1,3,2,3,1,1,40,5,,900,1,1989,2,5,1
